ranking,referencia,molecula_tipo,titular_fabricante,origen,segmento_especie,rango_ventas_anual_cop,participacion_mercado
1,NexGard / NexGard Spectra (Afoxolaner / + Milbemicina),Afoxolaner masticable / Afoxolaner + Milbemicina oxima,Boehringer Ingelheim Animal Health (Francia/USA),Importado,Caninos (Pet Care),$90.000 M - $120.000 M,Líder absoluto en facturación de farmacia para mascotas en Colombia
2,Bravecto (Fluralaner Comprimidos y Spot-On),Fluralaner masticable (12 semanas de duración),MSD Animal Health / Intervet (Austria/Holanda),Importado,Caninos y Felinos (Pet Care),$80.000 M - $110.000 M,Antiparasitario oral de mayor duración (3 meses) en el mercado
3,Simparica / Simparica Trio (Sarolaner / + Moxidectina + Pirantel),Sarolaner masticable mensual / Fórmula Trio,Zoetis (Estados Unidos),Importado,Caninos (Pet Care),$70.000 M - $95.000 M,"Alta penetración clínica por cobertura de pulgas, garrapatas y parásitos internos"
4,Taste of the Wild (High Prairie / Pacific Stream / Sierra Mountain),Alimento Super Premium Grain-Free (Carnes asadas reales),Diamond Pet Foods (USA) / Imp. Jaramillo Pets,Importado,Caninos y Felinos,$65.000 M - $85.000 M,Líder nacional en alimento libre de granos importado en pet shops
5,"Royal Canin Veterinary Diet (Gastrointestinal, Renal, Urinary S/O)",Dietas de prescripción médica terapéutica,Mars Petcare (Francia / Brasil / USA),Importado,Caninos y Felinos con Patologías,$60.000 M - $80.000 M,Líder en prescripción clínica hospitalaria y soporte de enfermedades crónicas
6,"Hill's Prescription Diet / Science Diet (k/d, i/d, c/d, w/d)",Dietas clínicas veterinarias y nutrición balanceada,Colgate-Palmolive (USA) / Dist. Gabrica S.A.S.,Importado,Caninos y Felinos,$50.000 M - $70.000 M,Pilar histórico de recomendación médica veterinaria en clínicas
7,Vanguard Plus 5 / CV / CPV (Línea de Vacunas Caninas),"Virus vivos modificados (Moquillo, Adenovirus, Parvovirus, Parainfluenza)",Zoetis (Estados Unidos),Importado,Caninos (Cachorros y Adultos),$35.000 M - $48.000 M,Vacuna polivalente canina de mayor uso en consultorios veterinarios
8,Nobivac DHPPi / Puppy DP / Tricat Trio (Línea Vacunas),Biológicos polivalentes caninos y felinos,MSD Animal Health (Holanda / USA),Importado,Perros y Gatos,$30.000 M - $42.000 M,Fuerte estándar de inmunización en cachorros y felinos
9,Apoquel (Oclacitinib) y Cytopoint (Lokivetmab),Inhibidor JAK (Oclacitinib) / Anticuerpo monoclonal anti-IL-31,Zoetis (Estados Unidos),Importado,Caninos con Dermatitis Atópica,$28.000 M - $38.000 M,Monopolio terapéutico en control del prurito y alergias crónicas severas
10,Seresto (Collar Antiparasitario de Larga Acción),Imidacloprid 10% + Flumetrina 4.5% (Matriz polimérica 8 meses),Elanco Animal Health (Alemania / USA),Importado,Caninos y Felinos,$22.000 M - $30.000 M,Collar antiparasitario premium de mayor venta para prevención de leishmaniasis
11,Dectomax (Doramectina Inyectable Ganadera),Doramectina 1% inyectable pecuaria,Zoetis (Brasil / USA),Importado,Bovinos de Alta Genética y Ceba,$20.000 M - $28.000 M,Endectocida importado de referencia para criaderos y hatos élite
12,"Purina Pro Plan (OptiHealth, OptiDerma, LiveClear)",Alimento Super Premium con tecnología inmune y dérmica,Nestlé Purina (USA / Brasil / Argentina),Importado,Caninos y Felinos,$20.000 M - $28.000 M,Alta rotación en canales mixtos de retail y clínicas veterinarias
13,Credelio (Lotilaner Comprimidos Masticables),Lotilaner puro micronizado para pulgas y garrapatas,Elanco Animal Health (Suiza / USA),Importado,Caninos y Felinos,$15.000 M - $22.000 M,Isoxazolina de rápida absorción y alta tolerancia gástrica
14,Semillas de Pastos Mejorados (Braquiarias Híbridas),"Semilla incrustada de Brachiaria brizantha (Mombasa, Piatá, Marandú)",Sementes Matsuda / Barenbrug (Brasil),Importado,Praderas y Hatos Ganaderos,$15.000 M - $22.000 M,Insumo clave importado para renovación intensiva de praderas pecuarias
15,Andis Grooming (Máquinas de Corte AGC2 y Cuchillas UltraEdge),Equipamiento electromecánico profesional de peluquería,Andis Company (USA) / Imp. Jaramillo Pets,Importado,Peluquerías Caninas y Clínicas,$10.000 M - $15.000 M,Herramienta de corte estándar en más del 80% de los spas y veterinarias
